last,first,votenum,votepct,district,namewhite,candidate,trump,trumppct
Burke,Michael,17048,0.1587,1,0.8774,Trump,1,0.45
Alonso,Antonio,15652,0.1457,1,0.0928,Trump,1,0.45
Hilliard,Christopher,15643,0.1456,1,0.6711,Trump,1,0.45
Hayes,Karen,9210,0.0857,1,0.7164,Cruz,0,0.45
Danaher,Gina,8375,0.078,1,0.978,Cruz,0,0.45
Tancos,Audrey,8354,0.0778,1,0.1988,Cruz,0,0.45
Murphy,Matthew,6407,0.0596,1,0.8505,Kasich,0,0.45
Murphy,Shaun,6060,0.0564,1,0.8505,Kasich,0,0.45
Suggs,Kevin,5676,0.0528,1,0.5902,Kasich,0,0.45
McDermed,Margo,3534,0.0329,1,0.9402,Rubio,0,0.45
Tuminello,Raymond,3005,0.028,1,0.9756,Rubio,0,0.45
Brooks,Corey,2948,0.0274,1,0.6272,Rubio,0,0.45
Brenson,Kirstie,683,0.0064,1,0.2928,Bush,0,0.45
Wayner,Jean,654,0.0061,1,0.8704,Christie,0,0.45
Macklin,Darnell,654,0.0061,1,0.4267,Carson,0,0.45
Uremovich,Michael,645,0.006,1,0.99,Carson,0,0.45
Kijak,Robert,589,0.0055,1,0.9923,Christie,0,0.45
Rea,Patrick,546,0.0051,1,0.7852,Bush,0,0.45
Kelly,Joann,479,0.0045,1,0.8039,Fiorina,0,0.45
Arseneau,Jeffrey,450,0.0042,1,0.9583,Bush,0,0.45
Brown,Symeon,330,0.0031,1,0.6071,Paul,0,0.45
Geringer,Mary,265,0.0025,1,0.9625,Fiorina,0,0.45
Stanley,Norman,207,0.0019,1,0.8104,Fiorina,0,0.45
Devors,James,12006,0.1335,2,0.9359,Trump,1,0.3804
Gaus,Rita,11531,0.1282,2,0.9584,Trump,1,0.3804
Tolbert,Taneequa,10679,0.1187,2,0.466,Trump,1,0.3804
Hildebrand,Michael,8893,0.0989,2,0.9595,Cruz,0,0.3804
Smith,David,8556,0.0951,2,0.7335,Cruz,0,0.3804
Davis,Lance,8021,0.0892,2,0.6473,Cruz,0,0.3804
Diekelman,Judy,4732,0.0526,2,0.9491,Kasich,0,0.3804
Burgess,Joseph,4549,0.0506,2,0.7777,Kasich,0,0.3804
Raef,Jayne,4429,0.0492,2,0.9505,Kasich,0,0.3804
Ogalla,Judy,2809,0.0312,2,0.6,Rubio,0,0.3804
Farquhar,Jay,2441,0.0271,2,0.9264,Rubio,0,0.3804
Diekelman,Kurt,2304,0.0256,2,0.9,Rubio,0,0.3804
Boyd,Jamie,1753,0.0195,2,0.6564,Bush,0,0.3804
Bossert,Michael,1222,0.0136,2,0.977,Bush,0,0.3804
Keast,Jeff,987,0.011,2,0.974,Bush,0,0.3804
Pearson,George,941,0.0105,2,0.7449,Carson,0,0.3804
Hoekstra,Douglas,819,0.0091,2,0.9774,Fiorina,0,0.3804
LeFlore,Ceasar,574,0.0064,2,0.1355,Carson,0,0.3804
Oliver-Pearson,Dezaree,520,0.0058,2,0.7062,Carson,0,0.3804
Sommerfield,Karen,515,0.0057,2,0.9553,Christie,0,0.3804
Schimke,Jeffrey,406,0.0045,2,0.977,Christie,0,0.3804
Raczek,Anthony,396,0.0044,2,0.9673,Paul,0,0.3804
Solis,Pedro,336,0.0037,2,0.0586,Paul,0,0.3804
Honeywood,Pleas,213,0.0024,2,0.0532,Christie,0,0.3804
Bryson,Charon,159,0.0018,2,0.7947,Fiorina,0,0.3804
Barton,Quintin,147,0.0016,2,0.8713,Fiorina,0,0.3804
Lynch,John,27012,0.1613,3,0.8422,Trump,1,0.4693
Schaffer,Cynthia,26253,0.1568,3,0.9367,Trump,1,0.4693
Anderson,Bob,25315,0.1512,3,0.776,Trump,1,0.4693
Balich,Stephen,12910,0.0771,3,0.9549,Cruz,0,0.4693
Randick,Jerry,12034,0.0719,3,0.85,Cruz,0,0.4693
Powell-Hayes,Nancy,11427,0.0682,3,0.708,Cruz,0,0.4693
Radogno,Christine,10711,0.064,3,0.85,Kasich,0,0.4693
Morrison,Sean,9574,0.0572,3,0.8168,Kasich,0,0.4693
Gorman,Elizabeth,9567,0.0571,3,0.9148,Kasich,0,0.4693
Yukich,George,4411,0.0263,3,0.9527,Rubio,0,0.4693
Schumann,Herb,4383,0.0262,3,0.9572,Rubio,0,0.4693
Lapidus,Michael,4299,0.0257,3,0.9649,Rubio,0,0.4693
Pappas,John,1143,0.0068,3,0.9523,Paul,0,0.4693
Zajac,Mark,987,0.0059,3,0.9651,Carson,0,0.4693
Meyer,Kathryn,809,0.0048,3,0.9607,Christie,0,0.4693
Hoffman,Barbara,783,0.0047,3,0.9545,Carson,0,0.4693
McPherson,Scott,774,0.0046,3,0.769,Bush,0,0.4693
Grant Schumann,Coleen,770,0.0046,3,0.7699,Bush,0,0.4693
Burzinski,Debbie,713,0.0043,3,0.9522,Fiorina,0,0.4693
Hackett,Patrick,593,0.0035,3,0.7949,Christie,0,0.4693
Oryhon,Harry,564,0.0034,3,0.7,Carson,0,0.4693
Kubasak,Sharon,552,0.0033,3,0.8,Fiorina,0,0.4693
Beller,Thomas,515,0.0031,3,0.9457,Christie,0,0.4693
Mitchell,Dan,479,0.0029,3,0.6355,Paul,0,0.4693
Brenson,Ian,456,0.0027,3,0.2928,Bush,0,0.4693
Godinez,Tony,432,0.0026,3,0.0435,Fiorina,0,0.4693
Jayne,Kevin,5833,0.1299,4,0.9339,Trump,1,0.3766
Sawchuk,Eric,5609,0.1249,4,0.9541,Trump,1,0.3766
Arellano,Rolando,5469,0.1218,4,0.0502,Trump,1,0.3766
Fuentes,Ebelio,3733,0.0831,4,0.0576,Cruz,0,0.3766
Boharic,Robert,3718,0.0828,4,0.85,Cruz,0,0.3766
Ashby,Allison,3670,0.0817,4,0.8246,Cruz,0,0.3766
Dropka,Michael,2614,0.0582,4,0.85,Kasich,0,0.3766
Reyes,Jesus,2595,0.0578,4,0.0526,Kasich,0,0.3766
Volini,Thomas,2444,0.0544,4,0.9817,Kasich,0,0.3766
Moreno,Maria,2078,0.0463,4,0.0705,Rubio,0,0.3766
Garcia,Lionel,1762,0.0392,4,0.0617,Rubio,0,0.3766
Vlcek,Danielle,1570,0.035,4,0.9608,Rubio,0,0.3766
Gonzalez,Ramiro,516,0.0115,4,0.0476,Bush,0,0.3766
Zarnecki,Walter,467,0.0104,4,0.9822,Bush,0,0.3766
Lydon,Maureen,368,0.0082,4,0.9694,Bush,0,0.3766
Bardy,Jennifer,334,0.0074,4,0.8462,Carson,0,0.3766
Estrada,Carlos,291,0.0065,4,0.0523,Paul,0,0.3766
Peterson,Todd,283,0.0063,4,0.8629,Paul,0,0.3766
Hickey,Matthew,257,0.0057,4,0.9368,Christie,0,0.3766
Hopcian,Amy,233,0.0052,4,0.85,Christie,0,0.3766
Igoe,Anna,204,0.0045,4,0.9616,Fiorina,0,0.3766
Kantner,Randy,201,0.0045,4,0.9806,Christie,0,0.3766
Mancilla,Citlally,186,0.0041,4,0.0733,Carson,0,0.3766
Houlihan,Michael,183,0.0041,4,0.9649,Fiorina,0,0.3766
Bardy,Dieter,183,0.0041,4,0.8462,Carson,0,0.3766
Kales,James,102,0.0023,4,0.8708,Fiorina,0,0.3766
Fratella,Mark,16503,0.113,5,0.9801,Trump,1,0.3339
Goro,Kathleen,16388,0.1122,5,0.8295,Trump,1,0.3339
Gayne,Lori,15881,0.1087,5,0.908,Trump,1,0.3339
Cronin,Daniel,15619,0.1069,5,0.9648,Kasich,0,0.3339
Carlson,Kayleen,14234,0.0975,5,0.9622,Kasich,0,0.3339
Kleber,Dale,13915,0.0953,5,0.966,Kasich,0,0.3339
O'Leary,Sean,9867,0.0676,5,0.9513,Cruz,0,0.3339
Cleveland,Chris,9097,0.0623,5,0.6837,Cruz,0,0.3339
Strzalka,James,9005,0.0617,5,0.9677,Cruz,0,0.3339
Grozev,Christopher,5101,0.0349,5,0.9,Rubio,0,0.3339
Cavers,Mark,5040,0.0345,5,0.6447,Rubio,0,0.3339
Svenson,Christine,4525,0.031,5,0.9648,Rubio,0,0.3339
O'Malley,Robert,1579,0.0108,5,0.969,Christie,0,0.3339
Nybo,Chris,1517,0.0104,5,0.9772,Bush,0,0.3339
Dorgan,John,1021,0.007,5,0.9407,Bush,0,0.3339
Baker,Lauren,981,0.0067,5,0.8208,Christie,0,0.3339
Babiarz,James,713,0.0049,5,0.9723,Paul,0,0.3339
Davis,Scott,699,0.0048,5,0.6473,Paul,0,0.3339
Shields,Stratford,695,0.0048,5,0.7828,Bush,0,0.3339
Crowley,Walter,600,0.0041,5,0.9149,Carson,0,0.3339
Carter,Mary,577,0.004,5,0.6051,Fiorina,0,0.3339
Adams,Christopher,529,0.0036,5,0.7617,Christie,0,0.3339
Schultz,Christian,479,0.0033,5,0.9624,Carson,0,0.3339
Mowry,Robert,442,0.003,5,0.9727,Carson,0,0.3339
Carter,Allen,386,0.0026,5,0.6051,Fiorina,0,0.3339
Chaljub,Ruben,373,0.0026,5,0.1,Paul,0,0.3339
Golde,Michael,292,0.002,5,0.9085,Fiorina,0,0.3339
Minch,Paul,36459,0.1054,6,0.9631,Trump,1,0.3011
Kois,Barbara,36142,0.1045,6,0.9652,Trump,1,0.3011
Brady,Patrick,33475,0.0968,6,0.8902,Kasich,0,0.3011
Sandack,Ronald,32947,0.0953,6,0.9,Kasich,0,0.3011
Del Mar,Aaron,31655,0.0916,6,0.6468,Kasich,0,0.3011
Fakroddin,Nabi,31540,0.0912,6,0.05,Trump,1,0.3011
Miller,Michael,29118,0.0842,6,0.8581,Cruz,0,0.3011
Yeagley,Jeanne,27033,0.0782,6,0.9742,Cruz,0,0.3011
Scheflow,Doug,26882,0.0777,6,0.95,Cruz,0,0.3011
Connelly,Michael,11600,0.0335,6,0.9363,Rubio,0,0.3011
Duffy,Dan,11132,0.0322,6,0.9213,Rubio,0,0.3011
Grogan,Bob,10504,0.0304,6,0.899,Rubio,0,0.3011
Dillard,Kirk,6730,0.0195,6,0.5586,Bush,0,0.3011
McConnaughay,Karen,4741,0.0137,6,0.9551,Bush,0,0.3011
Davis,Stephen,2204,0.0064,6,0.6473,Bush,0,0.3011
Johnson,Donna,1783,0.0052,6,0.6155,Carson,0,0.3011
Olson,Gregory,1491,0.0043,6,0.9603,Christie,0,0.3011
Tiballi,Robert,1438,0.0042,6,0.95,Carson,0,0.3011
Stamoolis,Evelyn,1329,0.0038,6,0.95,Carson,0,0.3011
Schuster,Adam,1103,0.0032,6,0.961,Paul,0,0.3011
Nash,David,1043,0.003,6,0.7224,Christie,0,0.3011
McNeily,Robert,1004,0.0029,6,0.7642,Paul,0,0.3011
Brinkman,Daniel,916,0.0026,6,0.9735,Fiorina,0,0.3011
Dishong,Eileen,861,0.0025,6,0.9451,Christie,0,0.3011
Ramey,Randy,840,0.0024,6,0.8612,Fiorina,0,0.3011
